date;body temperature;cycle phase;Sleep Score;Total Sleep Score;REM Sleep Score;Deep Sleep Score;Sleep Efficiency Score;Restfulness Score;Sleep Latency Score;Sleep Timin Score;Total Sleep Duration;Total Bedtime ;Awake Time;REM Sleep Duration;Light Sleep Duration;Deep Sleep Duration;Restless Sleep;Sleep Efficiency;Sleep Latency;Sleep Timing;Bedtime Start;Bedtime End;Average Resting Heart Rate;Lowest Resting Heart Rate;Average HRV;Temperature Deviation (°C);Temperature Trend Deviation;Respiratory Rate;Activity Score;Stay Active Score;Move Every Hour Score;Meet Daily Targets Score;Training Frequency Score;Training Volume Score;Activity Burn;Total Burn;Steps;Equivalent Walking Distance;Inactive Time;Rest Time;Low Activity Time;Medium Activity Time;High Activity Time;Non-wear Time;Average MET;Long Periods of Inactivity;Readiness Score;Previous Night Score;Sleep Balance Score;Previous Day Activity Score;Activity Balance Score;Temperature Score;Resting Heart Rate Score;HRV Balance Score;Recovery Index Score
06/01/2023;35,85;M;70;69;58;97;69;66;70;66;24450;30900;6450;4290;13020;7140;29;79;240;14700;06/01/2023 00:01;06/01/2023 08:36;6417;56;28;-2;24;15625;63;60;78;78;100;99;273;1820;7497;6674;39780;29880;11820;3420;0;1500;140625;2;78;60;83;92;87;100;100;73;46
07/01/2023;36,49;M;73;68;79;92;83;63;78;63;24240;28560;4320;5820;12960;5460;36;85;450;14640;07/01/2023 00:09;07/01/2023 08:05;6162;56;32;-16;8;1525;61;74;100;60;100;98;380;1964;9574;8973;33780;28260;19380;2880;480;1620;153125;0;85;68;80;83;87;99;100;85;97
09/01/2023;36,1;M;64;59;86;65;79;61;72;40;21960;26340;4380;6270;11820;3870;36;83;330;12720;09/01/2023 01:27;09/01/2023 08:46;6411;58;27;-1;4;155;69;49;60;25;100;97;185;1714;5336;4227;45000;29580;10020;1740;60;0;134375;3;79;45;71;95;93;100;94;87;89
10/01/2023;35,63;FP;74;66;96;96;72;68;91;54;23700;29640;5940;7530;9870;6300;27;80;1050;14820;10/01/2023 00:23;10/01/2023 08:37;6302;57;26;-13;2;16;67;50;100;1;100;96;232;1778;6366;5537;39540;18000;8580;2880;0;17400;140625;0;80;70;68;84;95;100;100;88;65
12/01/2023;3634;FP;46;25;38;57;72;74;72;21;13290;16680;3390;2880;6990;3420;24;80;300;8370;12/01/2023 03:31;12/01/2023 08:09;6992;64;20;-5;4;15625;79;62;100;43;100;97;297;1824;4915;6797;38100;33420;11220;2820;60;780;140625;0;58;;44;84;91;100;41;82;23
13/01/2023;3614;FP;77;80;78;73;86;67;75;83;27270;31560;4290;5700;17190;4380;31;86;390;14670;12/01/2023 23:27;13/01/2023 08:13;6236;56;31;-7;4;1525;86;78;100;60;100;100;685;2250;13355;17335;21600;16140;12720;8820;600;26520;178125;0;80;78;51;84;90;100;100;88;100
15/01/2023;3595;FP;50;36;27;35;60;69;64;86;13680;18240;4560;1950;9600;2130;33;75;150;8130;14/01/2023 21:54;15/01/2023 02:58;6484;60;22;-15;0;15625;86;76;100;60;100;98;290;1826;8086;7207;31560;29940;13980;3240;0;7680;140625;0;61;10;;100;;100;78;;71
16/01/2023;3657;FP;82;79;97;97;81;74;67;95;26850;32100;5250;7770;12300;6780;27;84;180;14670;15/01/2023 23:04;16/01/2023 07:59;6436;58;27;-18;-4;1575;96;81;100;95;100;100;640;2229;18687;16146;28980;25500;16500;8700;480;6240;175;0;80;90;44;90;95;99;94;93;85
18/01/2023;364;FP;71;64;92;84;67;74;46;85;23130;29580;6450;6690;11460;4980;25;78;2100;14610;17/01/2023 23:25;18/01/2023 07:38;6551;58;24;-4;-2;1575;94;87;100;100;100;100;513;2058;15918;13288;27720;32340;13740;7080;60;5460;159375;0;73;62;47;86;91;100;94;91;61
19/01/2023;3644;FP;75;77;81;98;44;56;75;100;26460;38700;12240;5940;12720;7800;40;68;360;15660;18/01/2023 22:38;19/01/2023 09:23;6263;56;33;-26;-6;16125;90;74;100;100;100;100;529;2106;15693;13610;34260;24420;14040;7740;60;5880;165625;0;79;73;56;76;78;96;100;94;99
